2026-02-28T07:05:25+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:05:34+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:05:37+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:05:38+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:05:41+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:05:42+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:05:43+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:06:29+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:07:31+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:07:32+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:07:38+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:08:27+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:08:41+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:08:42+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-02-28T07:08:43+00:00 CRITICAL syntax error, unexpected token ";" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\elementor\core\base\document.php","line":1605},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\kamashop\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":411,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
